English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
Indicator Name,,Nombre del indicador,,,,,
Please enter a number larger than zero.,,Por favor ingrese un número mayor que cero.,,,,,#. Translators: Input form error message
Site,,Sitio,,,,,
Actual value,,Valor actual,,,,,
Measure against target,,Medida contra objetivo,,,,,
Project,,Proyecto,,,,,
Link to file or folder,,Enlace al archivo o carpeta,,,,,
Result date,,Fecha del resultado,,,,,
"You can begin entering results on {program_start_date}, the program start date",,"Puede comenzar a ingresar resultados el {program_start_date}, fecha de inicio del programa",,,,,
Please select a date between {program_start_date} and {program_end_date},,Por favor seleccione una fecha entre {program_start_date} y {program_end_date},,,,,
Please select a date between {program_start_date} and {todays_date},,Por favor seleccione una fecha entre {program_start_date} y {todays_date},,,,,
URL required if record name is set,,La URL es requerida si el nombre del registro está establecido,,,,,
years,,años,,,,,
semi-annual periods,,períodos semestrales,,,,,
tri-annual periods,,períodos trienales,,,,,
quarters,,trimestres,,,,,
months,,meses,,,,,
Show all,,Ver todo,,,,,
Most recent,,Más reciente,,,,,
Program,,Programa,,,,,
Time periods,,Períodos de tiempo,,,,,
enter a number,,ingrese un número,,,,,
Target periods,,Periodos objetivo,,,,,
Levels,,Niveles,,,,,
Types,,Tipos,,,,,
Sectors,,Sectores,,,,,
Sites,,Sitios,,,,,
Indicators,,Indicadores,,,,,
START,,COMIENZO,,,,,
END,,FIN,,,,,
TARGET PERIODS,,PERIODOS OBJETIVO,,,,,
Performance Indicator,,Indicador de rendimiento,,,,,
Targets,,Objetivos,,,,,
Data Acquisition,,Adquisición de datos,,,,,
Analyses and Reporting,,Análisis e informes,,,,,
Level,,Nivel,,,,,
No.,,No.,,,,,#. Translators: Number of the indicator being shown
Performance indicator,,Indicador de rendimiento,,,,,
Indicator source,,Origen del indicador,,,,,
Indicator definition,,Definición del indicador,,,,,
Disaggregation,,Desagregación,,,,,
Unit of measure,,Unidad de medida,,,,,
Direction of change,,Dirección de cambio,,,,,
# / %,,# / %,,,,,
Calculation,,Cálculo,,,,,
Baseline value,,Valor de referencia,,,,,
LOP target,,Objetivo LOP,,,,,
Rationale for target,,Justificación del objetivo,,,,,
Target frequency,,Frecuencia objetivo,,,,,
Means of verification,,Medios de verificación,,,,,
Data collection method,,Método de recopilación de datos,,,,,
Frequency of data collection,,Frecuencia de recopilación de datos,,,,,
Data points,,Puntos de datos,,,,,
Responsible person(s) & team,,Persona(s) o equipo responsable,,,,,
Method of analysis,,Método de análisis,,,,,
Information use,,Uso de información,,,,,
Frequency of reporting,,Frecuencia de informes,,,,,
Quality assurance measures,,Medidas de aseguramiento de la calidad,,,,,
Data issues,,Problemas de datos,,,,,
Comments,,Comentarios,,,,,
Indicator plan,,Plan de indicadores,,,,,
Name,,Nombre,,,,,
Table id,,Identificador de la tabla,,,,,
Owner,,Propietario,,,,,
Remote owner,,Propietario remoto,,,,,
Country,,País,,,,,
URL,,URL,,,,,
Unique count,,Recuento único,,,,,
Create date,,Fecha de creación,,,,,
Edit date,,Fecha de edición,,,,,
Indicator type,,Tipo de indicador,,,,,
Description,,Descripción,,,,,
Indicator Type,,Tipo de indicador,,,,,
Status,,Estado,,,,,
Country Strategic Objectives,,Objetivos Estratégicos del País,,,,,
Program Objective,,Objetivo del programa,,,,,
Customsort,,Customsort,,,,,
Disaggregation type,,Tipo de desagregación,,,,,
Standard (TolaData Admins Only),,Estándar (solo administradores de TolaData),,,,,
Label,,Etiqueta,,,,,
Disaggregation label,,Etiqueta de desagregación,,,,,
Value,,Valor,,,,,
Frequency,,Frecuencia,,,,,
Reporting Frequency,,Frecuencia de informes,,,,,
Frequency in number of days,,Frecuencia en cantidad de días,,,,,
Data Collection Frequency,,Frecuencia de recopilación de datos,,,,,
Reporting Period,,Período de información,,,,,
Feed URL,,URL de la fuente,,,,,
External Service,,Servicio externo,,,,,
External service,,Servicio externo,,,,,
Full URL,,URL completa,,,,,
Unique ID,,Identificación única,,,,,
External Service Record,,Registro de servicio externo,,,,,
Life of Program (LoP) only,,Vida del programa (LoP) solamente,,,,,
Midline and endline,,Línea media y línea final,,,,,
Annual,,Anual,,,,,#. Translators:  label for the date of the last completed Annual target period.
Semi-annual,,Semestral,,,,,
Tri-annual,,Trienal,,,,,
Quarterly,,Trimestral,,,,,#. Translators:  label for the date of the last completed Quarterly target period.
Monthly,,Mensual,,,,,#. Translators:  label for the date of the last completed Monthly target period.
Event,,Evento,,,,,
Number (#),,Número (#),,,,,
Percentage (%),,Porcentaje (%),,,,,
Direction of change (not applicable),,Dirección de cambio (no aplica),,,,,
Increase (+),,Aumentar (+),,,,,
Decrease (-),,Disminuir (-),,,,,
Indicator key,,Clave del Indicador,,,,,
Country Strategic Objective,,Objetivo estratégico del país,,,,,
Number,,Número,,,,,
Source,,Fuente,,,,,
Definition,,Definición,,,,,
Rationale or Justification for Indicator,,Razonamiento o justificación del indicador,,,,,
Unit Type,,Tipo de unidad,,,,,
Baseline,,Base,,,,,
Not applicable,,No aplica,,,,,
Life of Program (LoP) target,,Objetivo de Vida del Programa (LoP),,,,,
Direction of Change,,Dirección de cambio,,,,,
C / NC,,C / NC,,,,,
First event name,,Nombre del primer evento,,,,,
First target period begins*,,Comienza el primer período objetivo*,,,,,
Number of target periods*,,Número de períodos objetivo*,,,,,
Means of Verification / Data Source,,Medios de verificación / Fuente de datos,,,,,
Data Collection Method,,Método de recopilación de datos,,,,,
Frequency of Data Collection,,Frecuencia de recopilación de datos,,,,,
Responsible Person(s) and Team,,Persona(s) o equipo responsable,,,,,
Method of Analysis,,Método de análisis,,,,,
Information Use,,Uso de información,,,,,
Frequency of Reporting,,Frecuencia de informes,,,,,
Quality Assurance Measures,,Medidas de aseguramiento de la calidad,,,,,
Changes to Indicator,,Cambios en el indicador,,,,,
Sector,,Sector,,,,,
Key Performance Indicator for this program?,,¿Indicador clave de rendimiento para este programa?,,,,,
Approved by,,Aprobado por,,,,,
Approval submitted by,,Aprobación presentada por,,,,,
External Service ID,,Identificación de servicio externo,,,,,
Notes,,Notas,,,,,
Indicator,,Indicador,,,,,
#,,#,,,,,
%,,%,,,,,
-,,-,,,,,
+,,+,,,,,
Midline,,Línea media,,,,,
Endline,,Línea final,,,,,
Year,,Año,,,,,
Semi-annual period,,Períodos semestrales,,,,,
Tri-annual period,,Períodos trienales,,,,,
Quarter,,Trimestre,,,,,
Period,,Período,,,,,
Target,,Objetivo,,,,,#. Translators: The goal value the user wishes to reach
Start date,,Fecha de inicio,,,,,
End date,,Fecha final,,,,,
Periodic Target,,Objetivo periódico,,,,,
Data key,,Clave de Datos,,,,,
Periodic target,,Objetivo periódico,,,,,
Actual,,Real,,,,,#. Translators: The current value of the indicator
Disaggregation Value,,Valor de desagregación,,,,,
Project Initiation,,Iniciación de proyecto,,,,,
Project Complete,,Proyecto completo,,,,,
Date collected,,Fecha de recoplicación,,,,,
Evidence Document or Link,,Documento o enlace de evidencia,,,,,
Originated By,,Originado por,,,,,
TolaTable,,Tabla Tola,,,,,
Would you like to update the achieved total with the         row count from TolaTables?,,¿Desea actualizar el total alcanzado con el recuento de      filas de las tablas Tola?,,,,,
Record name,,Nombre del registro,,,,,
Evidence URL,,URL de la Evidencia,,,,,
Report Name,,Nombre del Informe,,,,,
Most recent {num_recent_periods} {time_or_target_period_str},,Últimos {num_recent_periods} {time_or_target_period_str},,,,,#. Translators: Example: Most recent 2 Months
Show all {time_or_target_period_str},,Ver todos los {time_or_target_period_str},,,,,#. Translators: Example: Show all Years
Show all results,,Ver todos los resultados,,,,,
Recent progress for all indicators,,Progreso reciente para todos los indicadores,,,,,
and,,y,,,,,
or,,o,,,,,
N/A,,N/A,,,,,
Indicators with targets,,Indicadores con objetivos,,,,,#. Translators: title of a graphic showing indicators with targets
have targets,,tienen objetivos,,,,,#. Translators: a label in a graphic. Example: 31% have targets
no targets,,sin objetivos,,,,,#. Translators: a label in a graphic. Example: 31% no targets
Indicators missing targets,,Indicadores sin objetivos,,,,,#. Translators: a link that displays a filtered list of indicators which are missing targets
have missing targets,,faltan objetivos,,,,,#. Translators: a label in a graphic. Example: 31% have missing targets
No targets,,Sin objetivos,,,,,
Indicators with results,,Indicadores con resultados,,,,,#. Translators: title of a graphic showing indicators with results
have results,,tienen resultados,,,,,#. Translators: a label in a graphic. Example: 31% have results
no results,,sin resultados,,,,,#. Translators: a label in a graphic. Example: 31% no results
Indicators missing results,,Indicadores sin resultados,,,,,#. Translators: a link that displays a filtered list of indicators which are missing results
have missing results,,faltan resultados,,,,,#. Translators: a label in a graphic. Example: 31% have missing results
No results,,Sin resultados,,,,,
Results with evidence,,Resultados con evidencia,,,,,#. Translators: title of a graphic showing results with evidence
have evidence,,hay evidencia adjunta,,,,,#. Translators: a label in a graphic. Example: 31% have evidence
no evidence,,no hay evidencia adjunta,,,,,#. Translators: a label in a graphic. Example: 31% no evidence
Indicators missing evidence,,Indicadores sin evidencia,,,,,#. Translators: a link that displays a filtered list of indicators which are missing evidence
have missing evidence,,faltan pruebas,,,,,#. Translators: a label in a graphic. Example: 31% have missing evidence
No evidence,,Sin evidencia,,,,,
of programs have all targets defined,,de los programas tienen todos los objetivos definidos,,,,,#. Translators: a label in a graphic. Example: 31% of programs have all targets defined
Each indicator must have a target frequency selected and targets entered for all periods.,,Cada indicador debe tener una frecuencia objetivo seleccionada y debe haber objetivos ingresados para todos los períodos.,,,,,"#. Translators: help text explaining why a certain percentage of indicators are marked ""missing targets"""
of indicators have reported results,,de los indicadores han reportado resultados,,,,,#. Translators: a label in a graphic. Example: 31% of indicators have reported results
Each indicator must have at least one reported result.,,Cada indicador debe tener al menos un resultado reportado.,,,,,"#. Translators: help text explaining why a certain percentage of indicators are marked ""missing results"""
of results are backed up with evidence,,de los resultados están respaldados por evidencia,,,,,#. Translators: a label in a graphic. Example: 31% of results are backed up with evidence
Each result must include a link to an evidence file or folder.,,Cada resultado debe incluir un enlace a un archivo o carpeta de evidencia.,,,,,"#. Translators: help text explaining why a certain percentage of indicators are marked ""missing evidence"""
Temporary,,Temporal,,,,,
"Success, Basic Indicator Created!",,"¡Éxito, indicador básico creado!",,,,,
Invalid Form,,Forma inválida,,,,,
"Success, Indicator Updated!",,"¡Éxito, indicador actualizado!",,,,,
"Success, Indicator Deleted!",,"¡Éxito, indicador eliminado!",,,,,
Reason for change is required.,,Se requiere justificación para el cambio.,,,,,
The indicator was successfully deleted.,,El indicador se ha eliminado satisfactoriamente.,,,,,
Reason for change is required,,Se requiere justificación para el cambio,,,,,#. Translators: Text of an error message that appears when a user hasn't provided a justification for the change they are making to some data
"Success, Data Created!",,"¡Éxito, datos creados!",,,,,
"Success, Data Updated!",,"¡Éxito, datos actualizados!",,,,,
Month,,Mes,,,,,
Cumulative,,Acumulativo,,,,,
Non-cumulative,,No acumulativo,,,,,
Please select a valid program.,,Por favor seleccione un programa válido.,,,,,
Please select a valid report type.,,Seleccione un tipo de informe válido.,,,,,
Indicator Performance Tracking Report,,Informe de seguimiento del rendimiento del indicador,,,,,
Life of Program,,Vida del programa,,,,,
% Met,,% cumplido,,,,,#. Translators: The ratio of the actual value to the target value as a precentage
IPTT report cannot be run on a program with a reporting period set in the future.,,No es posible ejecutar un informe IPTT con período de reporte en el futuro.,,,,,
"This is not the page you were looking for, you may be lost.",,"Esta no es la página que estabas buscando, puedes estar perdido.",,,,,
Additional Permissions Required,,Permisos Adicionales Requeridos,,,,,
You need permission to view this page.,,Necesita permisos para ver esta página.,,,,,
You can request permission from your TolaData administrator.,,Puede solicitar permisos a su administrador TolaData.,,,,,
" You can also reach the TolaData team by using the <a href=\""https://docs.google.com/forms/d/e/1FAIpQLSclm2PAT9TJ9q23TT6YWQg6hj3EndUAdyF5k6kvNJHu6njNtw/viewform\"">feedback form.</a>\n    ",," También puede contactar al equipo de TolaData utilizando el <a href=\""https://docs.google.com/forms/d/e/1FAIpQLSclm2PAT9TJ9q23TT6YWQg6hj3EndUAdyF5k6kvNJHu6njNtw/viewform\"">formulario de contacto</a>.\n      ",,,,,
Page Not found,,Página no encontrada,,,,,
Server Error,,Error del servidor,,,,,
Whoops!,,¡Ups!,,,,,
500 Error...Whoops something went wrong...,,Error 500... Whoops algo salió mal...,,,,,
There was a problem loading this page.  Please notify a systems administrator if you think you should not be seeing this page.,,Hubo un problema al cargar esta página. Por favor notifique a un administrador de sistemas si cree que no debería estar viendo esta página.,,,,,
Please correct the error below.,,Por favor corrija el siguiente error.,,,,,
Please correct the errors below.,,Por favor corrija los siguientes errores.,,,,,
"You are authenticated as %(username)s, but are not authorized to access this page. Would you like to log in to a different account?",,"Usted está autenticado como %(username)s, pero no está autorizado a acceder esta página. ¿Desea conectarse con una cuenta diferente?",,,,,
Forgotten your password or username?,,¿Ha olvidado su usuario o contraseña?,,,,,
Log in,,Iniciar sesión,,,,,
"\n    Are you a TolaActivity admin having trouble logging in? As part of our Partner Access release, we incorporated\n    new and improved administration tools into TolaActivity itself. Please visit TolaActivity and look for a section\n    called Admin.\n    ",,\n    ¿Es administrador de TolaActivity y tiene problemas para iniciar sesión? Hemos incorporado herramientas de administración nuevas y mejoradas  \n      dentro de TolaActivity como parte de nuestro lanzamiento de Acceso de Socios. Visite TolaActivity y busque la sección Administración.\n    ,,,,,
Browse,,Explorar,,,,,
Documents,,Documentos,,,,,
Projects,,Proyectos,,,,,
Stakeholders,,Partes interesadas,,,,,
Reports,,Informes,,,,,
Indicator Performance Tracking Table,,Tabla de seguimiento del rendimiento del indicador,,,,,
Indicator Disaggregation Report,,Informe de desagregación,,,,,
Project Report,,Informe del proyecto,,,,,
Admin,,Administración,,,,,
Users,,Usuarios,,,,,
Programs,,Programas,,,,,
Organizations,,Organizaciones,,,,,
Countries,,Países,,,,,
Settings,,Ajustes,,,,,
Log out,,Cerrar sesión,,,,,
Documentation,,Documentación,,,,,
FAQ,,Preguntas Frecuentes (FAQ),,,,,
Feedback,,Realimentación,,,,,
Network Error,,Error de red,,,,,
Please check your network connection and try again,,Verifique su conexión de red y vuelva a intentarlo,,,,,
Unknown network request error,,Error de solicitud de red desconocido,,,,,
"Sorry, you do not have permission to perform this action.",,Lo sentimos. Usted no tiene permiso para realizar esta acción.,,,,,
Let us know if you are having a problem or would like to see something change.,,Háganos saber si tiene algún problema o le gustaría ver algo cambiar.,,,,,
Help,,Ayuda,,,,,
No available programs,,No hay programas disponibles,,,,,#. Translators: Page title if the user has not selected country
change country,,cambiar país,,,,,
Sites with results,,Sitios con resultados,,,,,
Sites without results,,Sitios sin resultados,,,,,
Monitoring and Evaluation Status,,Estado de monitoreo y evaluación,,,,,
Are programs trackable and backed up with evidence?,,¿Los programas se rastreables y respaldados por evidencia?,,,,,
%(no_programs)s active programs,,%(no_programs)s programas activos,,,,,
\n    <h2>No available programs</h2>\n    ,,\n    <h2>No hay programas disponibles</h2>\n    ,,,,,
Program page,,Página del programa,,,,,
Recent progress report,,Informe de progreso reciente,,,,,
"\n                            Before adding indicators and performance results, we need to know your program's\n                            <a\n                                id=\""id_link_reporting_period_%(id)s\""\n                                class=\""\""\n                                href=\""#\""\n                                data-toggle=\""modal\""\n                                data-program=\""%(id)s\""\n                                data-progstart=\""%(start_date)s\""\n                                data-progend=\""%(end_date)s\""\n                                data-rptstart=\""%(reporting_period_start)s\""\n                                data-rptend=\""%(reporting_period_end)s\""\n                                data-indicator_count=\""%(program.indicator_count)s\""\n                                data-target=\""#id_reporting_period_modal\"">\n                                reporting start and end dates.\n                            </a>\n                            ",,"\n                            Antes de agregar indicadores y resultados de rendimiento, necesitamos saber las\n                            <a\n                                id=\""id_link_reporting_period_%(id)s\""\n                                class=\""\""\n                                href=\""#\""\n                                data-toggle=\""modal\""\n                                data-program=\""%(id)s\""\n                                data-progstart=\""%(start_date)s\""\n                                data-progend=\""%(end_date)s\""\n                                data-rptstart=\""%(reporting_period_start)s\""\n                                data-rptend=\""%(reporting_period_end)s\""\n                                data-indicator_count=\""%(program.indicator_count)s\""\n                                data-target=\""#id_reporting_period_modal\"">\n                                fechas de inicio y fin de informes.\n                            </a>\n                            ",,,,,
Your program administrator must initialize this program before you will be able to view or edit it,,El administrador del programa debe inicializar este programa antes que usted pueda verlo o editarlo,,,,,#. Translators: This message appears if users are trying to edit a program that isn't ready for viewing/editing.
No indicators have been entered for this program.,,No se han ingresado indicadores para este programa.,,,,,
Add indicator,,Agregar indicador,,,,,
Program metrics <small>for target periods completed to date</small>,,Métricas del programa <small>para períodos objetivo completados hasta la fecha</small>,,,,,
"\n                        <h4>All indicators are missing targets.</h4>\n                        <p>Visit the <a href=\""%(program_page_url)s\"">Program page</a> to set up targets.</p>\n                        ",,"\n                        <h4>Faltan objetivos en todos los indicadores.</h4>\n                        <p>Visite la <a href=\""%(program_page_url)s\"">Página de Programa</a> para configurar objetivos.</p>\n                        ",,,,,
"\n    <p>\n        You do not have permission to view any programs. You can request permission from your TolaData administrator.\n    </p>\n    <p>\n        You can also reach the TolaData team by using the <a href=\""https://docs.google.com/forms/d/e/1FAIpQLSclm2PAT9TJ9q23TT6YWQg6hj3EndUAdyF5k6kvNJHu6njNtw/viewform\"">feedback form.</a>\n    </p>\n    ",,"\n    <p>\n        Usted no tiene permisos para ver ningún programa. Puede solicitar permisos a su administrador TolaData.\n    </p>\n    <p>\n        También puede contactar al equipo TolaData a través del <a href=\""https://docs.google.com/forms/d/e/1FAIpQLSclm2PAT9TJ9q23TT6YWQg6hj3EndUAdyF5k6kvNJHu6njNtw/viewform\"">formulario de contacto</a>.\n    </p>\n    ",,,,,"#. Translators: message shown when there are no programs available to the user, or no active programs in a country"
Site with result,,Sitio con resultados,,,,,
Site without result,,Sitio sin resultados,,,,,
Dashboard,,Tablero,,,,,
Program Projects by Status,,Proyectos de programa por estado,,,,,
for,,para,,,,,
Initiation,,Iniciación,,,,,
Tracking,,Rastreo,,,,,
"Number of Approved, Pending or Open Projects",,"Número de proyectos aprobados, pendientes o abiertos",,,,,
Approved,,Aprobado,,,,,
Pending,,Pendiente,,,,,
Awaiting Approval,,Esperando aprobación,,,,,
Open,,Abierto,,,,,
KPI Targets v. Actuals,,Objetivos de KPI frente a los datos reales,,,,,
Results,,Resultados,,,,,
Actuals,,Datos reales,,,,,"#. Translators: in the sense of ""actual values"""
is awaiting your,,está esperando su,,,,,
approval,,aprobación,,,,,
All,,Todos,,,,,
Filter by Program,,Filtrar por programa,,,,,
Add project,,Agregar proyecto,,,,,
Indicator Evidence Leaderboard,,Leaderboard de evidencia de indicadores,,,,,
Indicator Data,,Datos del indicador,,,,,
W/Evidence,,Con evidencia,,,,,
Indicator Evidence,,Evidencia del indicador,,,,,
Strategic Objectives,,Objetivos estratégicos,,,,,
# of Indicators,,# de indicadores,,,,,
Target/Actuals,,Objetivo/Datos reales,,,,,
No indicators currently aligned with country strategic objectives.,,No hay indicadores actualmente alineados con los objetivos estratégicos del país.,,,,,
Milestones,,Hitos,,,,,
Current Adoption Status,,Estado de adopción actual,,,,,
Adoption of Workflow,,Adopción de Workflow,,,,,
Total Programs,,Programas totales,,,,,
Using Workflow,,Usando Workflow,,,,,
Adoption of Indicator,,Adopción del indicador,,,,,
Using Indicator Plans,,Uso de planes de indicadores,,,,,
Indicators w/ Evidence,,Indicadores con evidencia,,,,,
Total Results,,Resultados Totales,,,,,
Offline (No map provided),,Sin conexión (no se proporciona el mapa),,,,,
Dashboard report on indicator status by Country and Program,,Informe del tablero sobre el estado del indicador por país y programa,,,,,
TvA Report,,Informe TvA,,,,,
Indicator Disaggregation Report for,,Informe de desagregación de indicadores para,,,,,
IndicatorID,,Identificación del indicador,,,,,
Overall,,En general,,,,,
Type,,Tipo,,,,,
-- All --,,-- Todos --,,,,,
Export to PDF,,Exportar a PDF,,,,,
PID,,PID,,,,,
LOP Target,,Objetivo LOP,,,,,
Actual Total,,Total real,,,,,
No Disaggregation,,Sin desagregación,,,,,
No data available,,No hay datos disponibles,,,,,
Next,,Siguiente,,,,,
Previous,,Anterior,,,,,
Show _MENU_ entries,,Mostrar entradas de _MENU_,,,,,
Showing _START_ to _END_ of _TOTAL_ entries,,Mostrando entradas _START_ a _END_ de _TOTAL_,,,,,
Export to CSV,,Exportar a CSV,,,,,
Select a program before exporting it to PDF,,Seleccione un programa antes de exportarlo a PDF,,,,,
Indicator Confirm Delete,,Confirmar eliminación del indicador,,,,,
Are you sure you want to delete?,,¿Está seguro que quiere eliminarlo?,,,,,
Error reaching DIG service for list of indicators,,Error accediendo el servicio DIG para obtener la lista de indicadores,,,,,
Create an Indicator from an External Template.,,Cree un indicador a partir de una plantilla externa.,,,,,
Program based in,,Programa ubicado en,,,,,
"Are you adding a custom indicator or an indicator from the \""Design for Impact Guide (DIG)\""?",,"¿Está agregando un indicador personalizado o un indicador de la \""Guía de Diseño Para Impacto (DIG)\""?",,,,,
Custom indicator,,Indicador personalizado,,,,,
DIG indicator,,Indicador DIG,,,,,
-- select --,,- seleccionar -,,,,,
Save changes,,Guardar cambios,,,,,
Form Help/Guidance,,Ayuda del formulario / Guía,,,,,
Indicator setup,,Configuración del indicador,,,,,
indicator,,indicador,,,,,
"Any results assigned to these targets will need to be reassigned. For future reference, please provide a reason for deleting these targets.",,"Todos los resultados asignados a estos objetivos deben ser reasignados. Para referencia futura, indique la justificación para eliminar estos objetivos.",,,,,
"All details about this indicator and results recorded to the indicator will be permanently removed. For future reference, please provide a reason for deleting this indicator.",,"Todos los detalles sobre este indicador y resultados registrados a este indicador serán permanentemente eliminados. Para referencia futura, indique la justificación para eliminar este indicador.",,,,,
"Modifying target values will affect program metrics for this indicator. For future reference, please provide a reason for modifying target values.",,"Modificar los valores objetivo afectará las métricas para este indicador. Para referencia futura, indique la justificación para modificar los valores objetivo.",,,,,
This action cannot be undone.,,Esta acción no se puede deshacer.,,,,,
All details about this indicator will be permanently removed.,,Todos los detalles sobre este indicador serán permanentemente eliminados.,,,,,
Are you sure you want to delete this indicator?,,¿Está seguro de que desea eliminar este indicador?,,,,,
Are you sure you want to remove all targets?,,¿Está seguro de que desea eliminar todos los objetivos?,,,,,
Are you sure you want to remove this target?,,¿Está seguro de que desea eliminar este objetivo?,,,,,
"For future reference, please provide a reason for deleting this target.",,"Para referencia futura, indique la justificación para eliminar este objetivo.",,,,,
Success,,¡Éxito!,,,,,
Enter event name,,Ingrese el nombre del evento,,,,,
Enter target,,Ingrese el objetivo,,,,,
"Success, form data saved.",,"Éxito, datos de formulario guardados.",,,,,
Success!,,¡Éxito!,,,,,
View your indicator on the program page.,,Vea su indicador en la página del programa.,,,,,
Number of events,,Número de eventos,,,,,
Please complete this field. Your baseline can be zero.,,Por favor complete este campo. Su línea de base puede ser cero.,,,,,
Please enter a number larger than zero with no letters or symbols.,,Por favor ingrese un número mayor a cero sin letras ni símbolos.,,,,,
Please complete this field.,,Por favor complete este campo.,,,,,
You can start with up to 12 targets and add more later.,,Puede comenzar con hasta 12 objetivos y agregar más en el futuro.,,,,,
Please enter a name and target number for every event. Your target value can be zero.,,Por favor ingrese un nombre y un número objetivo para cada evento. Su valor objetivo puede ser cero.,,,,,
Please enter a number with no letters or symbols.,,Por favor ingrese un número sin letras ni símbolos.,,,,,
Please complete all required fields in the Targets tab.,,Complete todos los campos obligatorios en la pestaña Objetivos.,,,,,
Please complete all required fields in the Summary tab.,,Complete todos los campos obligatorios en la pestaña Resumen.,,,,,
Please complete all required fields in the Performance tab.,,Complete todos los campos obligatorios en la pestaña Rendimiento.,,,,,
Summary,,Resumen,,,,,
Performance,,Rendimiento,,,,,
Analysis and Reporting,,Análisis e informes,,,,,
Approval,,Aprobación,,,,,
Delete this indicator,,Eliminar este indicador,,,,,
Create targets,,Generar objetivos,,,,,
Remove all targets,,Eliminar todos los objetivos,,,,,
